required_age,dlc_count,windows,mac,linux,price_cleaned,languagesupp_count,is_major_developer,cat_Achievements,cat_Multiplayer,cat_Coop,cat_ControllerSupport,cat_Workshop,cat_InAppPurchases,cat_SteamCloud,cat_SinglePlayer,genre_Indie,genre_Racing,genre_Sports,genre_Simulation,genre_Casual,genre_RPG,genre_Action,genre_FreeToPlay,genre_MassivelyMultiplayer,genre_Adventure,genre_Strategy,AGE_GROUP,is_positive
0,1,1,0,1,0,29,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,2,1,1,1,0,28,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
17,0,1,0,0,0,13,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
17,9,1,0,0,19.99,16,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,9,1,0,0,19.99,16,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,9,1,0,0,19.99,16,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,9,1,0,0,19.99,16,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
17,9,1,0,0,3.99,16,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,0,1,0,27,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,2,1,1,1,9.99,9,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
0,4,1,1,0,39.99,25,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
0,0,1,1,1,5.99,25,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,14,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
13,2,1,0,0,59.99,13,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1
17,22,1,0,0,39.99,17,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
16,2,1,0,0,59.99,15,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,1
0,1,1,1,1,14.99,12,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1
17,3,1,0,0,59.99,19,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
17,1,1,0,0,0,14,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
17,2,1,1,0,39.99,15,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,2,1
0,98,1,1,1,59.99,30,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
17,0,1,0,0,0,13,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
0,12,1,0,0,19.99,13,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
0,0,1,0,0,59.99,26,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,0,14,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,13,1,0,0,19.99,15,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2,1
0,32,1,1,1,2.99,18,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
17,32,1,0,0,0,15,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1
0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1
0,15,1,1,0,19.99,21,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1
0,0,1,0,0,0,16,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
0,0,1,0,0,14.99,11,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1
18,78,1,0,1,19.99,12,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3,1
0,0,1,0,0,0,12,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
0,1,1,1,1,9.99,14,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
